TOWN,ADDRESS,Times sold,Sold date,Sold price
Liverpool,NORTHBROOK ROAD 3 LOWER FLAT,2,4-26-2017,310000
Liverpool,OAKLANDS PARK AVENUE 32 ,2,3-24-2017,278500
Liverpool,OAKLANDS PARK AVENUE 32 ,2,6-2-2017,311000
Liverpool,OAKLANDS PARK AVENUE 50 ,2,10-23-2017,260000
Liverpool,OAKLANDS PARK AVENUE 50 ,2,2-5-2018,284000
Liverpool,OXFORD ROAD 28 FLAT A,2,7-9-2010,94000
Liverpool,OXFORD ROAD 28 FLAT A,2,12-6-2017,186000
Liverpool,PAGET ROAD 27 ,2,2-18-2013,206000
Liverpool,PAGET ROAD 27 ,2,3-30-2017,362500
Liverpool,PARK AVENUE 23 ,2,7-10-2015,555500
Liverpool,PARK AVENUE 23 ,2,11-24-2017,660000
Liverpool,PARK AVENUE VALEBROOK 2 3B,2,2-10-2015,187500
Liverpool,PARK AVENUE VALEBROOK 2 3B,2,10-25-2017,245000
Liverpool,PITTMAN GARDENS 83 ,2,9-3-2010,122000
Liverpool,PITTMAN GARDENS 83 ,2,8-16-2017,140000
Liverpool,RICHMOND ROAD 158 ,2,3-4-2016,179000
Liverpool,RICHMOND ROAD 158 ,2,7-6-2017,145000
Liverpool,RICHMOND ROAD 184 ,2,2-11-2008,325000
Liverpool,RICHMOND ROAD 184 ,2,1-25-2017,299500
Liverpool,RICHMOND ROAD 24 FLAT 3,2,2-11-2015,210000
Liverpool,RICHMOND ROAD 24 FLAT 3,2,7-28-2017,277000
Liverpool,RIPON GARDENS 1 ,2,1-18-2013,420000
Liverpool,RIPON GARDENS 1 ,2,8-24-2017,645000
Liverpool,ROYSTON GARDENS 65 ,2,5-23-2013,450000
Liverpool,ROYSTON GARDENS 65 ,2,4-3-2017,650000
Liverpool,ROYSTON GARDENS ROYSTON COURT 7,2,5-21-2010,175000
Liverpool,ROYSTON GARDENS ROYSTON COURT 7,2,1-25-2017,300000
Liverpool,ROYSTON PARADE 29 ,2,10-30-2015,330000
Liverpool,ROYSTON PARADE 29 ,2,1-15-2018,520000
Liverpool,RUTLAND ROAD 18A ,2,4-10-2015,316500
Liverpool,RUTLAND ROAD 18A ,2,12-15-2017,470000
Liverpool,SAXON ROAD 25 ,2,5-8-2008,235000
Liverpool,SAXON ROAD 25 ,2,8-1-2017,320000
Liverpool,SAXON ROAD 36 ,2,10-3-2013,212000
Liverpool,SAXON ROAD 36 ,2,1-15-2018,375000
Liverpool,SELBORNE ROAD 11A ,2,7-30-2008,140000
